conversation_hash,code_index,error_line,error_character,error_id,error_message
0428233ccc1bf4ae2cfaae5eb0d6fec1,2,11,9,files.csharp.rules.lang.security.missing-hsts-header,"The HSTS HTTP response security header is missing, allowing interaction and communication to be sent over the insecure HTTP protocol."
0428233ccc1bf4ae2cfaae5eb0d6fec1,2,17,9,files.csharp.rules.lang.security.missing-hsts-header,"The HSTS HTTP response security header is missing, allowing interaction and communication to be sent over the insecure HTTP protocol."
0428233ccc1bf4ae2cfaae5eb0d6fec1,2,18,9,files.csharp.rules.lang.security.missing-hsts-header,"The HSTS HTTP response security header is missing, allowing interaction and communication to be sent over the insecure HTTP protocol."
0428233ccc1bf4ae2cfaae5eb0d6fec1,2,26,9,files.csharp.rules.lang.security.missing-hsts-header,"The HSTS HTTP response security header is missing, allowing interaction and communication to be sent over the insecure HTTP protocol."
0428233ccc1bf4ae2cfaae5eb0d6fec1,2,28,9,files.csharp.rules.lang.security.missing-hsts-header,"The HSTS HTTP response security header is missing, allowing interaction and communication to be sent over the insecure HTTP protocol."
064cec0ddfd2d55a64d993a77321c6a7,14,4,1,files.csharp.rules.lang.security.insecure-deserialization.insecure-binaryformatter-deserialization,"The BinaryFormatter type is dangerous and is not recommended for data processing. Applications should stop using BinaryFormatter as soon as possible, even if they believe the data they're processing to be trustworthy. BinaryFormatter is insecure and can't be made secure"
06aa854b939b332b4463fc8e407835ef,3,19,13,files.csharp.rules.lang.security.missing-hsts-header,"The HSTS HTTP response security header is missing, allowing interaction and communication to be sent over the insecure HTTP protocol."
0bcc4fed0f5c7e29f745590c0afd9b30,6,7,5,files.csharp.rules.dotnet.security.audit.missing-or-broken-authorization,"Anonymous access shouldn't be allowed unless explicit by design. Access control checks are missing and potentially can be bypassed. This finding violates the principle of least privilege or deny by default, where access should only be permitted for a specific set of roles or conforms to a custom policy or users."
159d26af7cb3ebb5fd9d88a0f064ec97,2,6,5,files.csharp.rules.dotnet.security.audit.missing-or-broken-authorization,"Anonymous access shouldn't be allowed unless explicit by design. Access control checks are missing and potentially can be bypassed. This finding violates the principle of least privilege or deny by default, where access should only be permitted for a specific set of roles or conforms to a custom policy or users."
1906cbd555fdf71d38bf42ff744349a1,0,57,9,files.csharp.rules.lang.security.insecure-deserialization.insecure-binaryformatter-deserialization,"The BinaryFormatter type is dangerous and is not recommended for data processing. Applications should stop using BinaryFormatter as soon as possible, even if they believe the data they're processing to be trustworthy. BinaryFormatter is insecure and can't be made secure"
1906cbd555fdf71d38bf42ff744349a1,0,67,9,files.csharp.rules.lang.security.insecure-deserialization.insecure-binaryformatter-deserialization,"The BinaryFormatter type is dangerous and is not recommended for data processing. Applications should stop using BinaryFormatter as soon as possible, even if they believe the data they're processing to be trustworthy. BinaryFormatter is insecure and can't be made secure"
2249303f3dca283c73f47fb2cc1bac85,5,9,5,files.csharp.rules.dotnet.security.audit.missing-or-broken-authorization,"Anonymous access shouldn't be allowed unless explicit by design. Access control checks are missing and potentially can be bypassed. This finding violates the principle of least privilege or deny by default, where access should only be permitted for a specific set of roles or conforms to a custom policy or users."
2ae9ee245e71cf4cb24994e9480e9959,2,8,5,files.csharp.rules.dotnet.security.audit.missing-or-broken-authorization,"Anonymous access shouldn't be allowed unless explicit by design. Access control checks are missing and potentially can be bypassed. This finding violates the principle of least privilege or deny by default, where access should only be permitted for a specific set of roles or conforms to a custom policy or users."
2e62d7ee52dbf2f4d55ef9f28a92dbce,0,29,21,files.csharp.rules.lang.security.insecure-deserialization.insecure-binaryformatter-deserialization,"The BinaryFormatter type is dangerous and is not recommended for data processing. Applications should stop using BinaryFormatter as soon as possible, even if they believe the data they're processing to be trustworthy. BinaryFormatter is insecure and can't be made secure"
2e62d7ee52dbf2f4d55ef9f28a92dbce,0,44,13,files.csharp.rules.lang.security.insecure-deserialization.insecure-binaryformatter-deserialization,"The BinaryFormatter type is dangerous and is not recommended for data processing. Applications should stop using BinaryFormatter as soon as possible, even if they believe the data they're processing to be trustworthy. BinaryFormatter is insecure and can't be made secure"
