conversation_hash,code_index,error_line,error_character,error_id,error_message
00b4b184046fba7406f9911463415a7c,5,44,7,files.javascript.rules.express.security.audit.express-check-csurf-middleware-usage,A CSRF middleware was not detected in your express application. Ensure you are either using one such as `csurf` or `csrf` (see rule references) and/or you are properly doing CSRF validation in your routes with a token or cookies.
00b4b184046fba7406f9911463415a7c,9,4,7,files.javascript.rules.express.security.audit.express-check-csurf-middleware-usage,A CSRF middleware was not detected in your express application. Ensure you are either using one such as `csurf` or `csrf` (see rule references) and/or you are properly doing CSRF validation in your routes with a token or cookies.
00faf14d6c186161926f8f3844ef201e,1,19,34,files.javascript.rules.lang.security.detect-insecure-websocket,Insecure WebSocket Detected. WebSocket Secure (wss) should be used for all WebSocket connections.
01730ede94976732b5f51bead431f055,1,6,9,files.javascript.rules.browser.security.insecure-document-method,"User controlled data in methods like `innerHTML`, `outerHTML` or `document.write` is an anti-pattern that can lead to XSS vulnerabilities"
01730ede94976732b5f51bead431f055,1,6,9,files.javascript.rules.browser.security.insecure-innerhtml,User controlled data in a `el.innerHTML` is an anti-pattern that can lead to XSS vulnerabilities
01730ede94976732b5f51bead431f055,1,6,24,files.javascript.rules.lang.security.html-in-template-string,"This template literal looks like HTML and has interpolated variables. These variables are not HTML-encoded by default. If the variables contain HTML tags, these may be interpreted by the browser, resulting in cross-site scripting (XSS)."
01730ede94976732b5f51bead431f055,10,8,13,files.javascript.rules.browser.security.insecure-document-method,"User controlled data in methods like `innerHTML`, `outerHTML` or `document.write` is an anti-pattern that can lead to XSS vulnerabilities"
01730ede94976732b5f51bead431f055,10,8,13,files.javascript.rules.browser.security.insecure-innerhtml,User controlled data in a `el.innerHTML` is an anti-pattern that can lead to XSS vulnerabilities
01730ede94976732b5f51bead431f055,10,10,13,files.javascript.rules.browser.security.insecure-document-method,"User controlled data in methods like `innerHTML`, `outerHTML` or `document.write` is an anti-pattern that can lead to XSS vulnerabilities"
01730ede94976732b5f51bead431f055,10,10,13,files.javascript.rules.browser.security.insecure-innerhtml,User controlled data in a `el.innerHTML` is an anti-pattern that can lead to XSS vulnerabilities
01730ede94976732b5f51bead431f055,11,7,9,files.javascript.rules.browser.security.insecure-document-method,"User controlled data in methods like `innerHTML`, `outerHTML` or `document.write` is an anti-pattern that can lead to XSS vulnerabilities"
01730ede94976732b5f51bead431f055,11,7,9,files.javascript.rules.browser.security.insecure-innerhtml,User controlled data in a `el.innerHTML` is an anti-pattern that can lead to XSS vulnerabilities
01730ede94976732b5f51bead431f055,2,6,9,files.javascript.rules.browser.security.insecure-document-method,"User controlled data in methods like `innerHTML`, `outerHTML` or `document.write` is an anti-pattern that can lead to XSS vulnerabilities"
01730ede94976732b5f51bead431f055,2,6,9,files.javascript.rules.browser.security.insecure-innerhtml,User controlled data in a `el.innerHTML` is an anti-pattern that can lead to XSS vulnerabilities
01730ede94976732b5f51bead431f055,4,6,9,files.javascript.rules.browser.security.insecure-document-method,"User controlled data in methods like `innerHTML`, `outerHTML` or `document.write` is an anti-pattern that can lead to XSS vulnerabilities"
01730ede94976732b5f51bead431f055,4,6,9,files.javascript.rules.browser.security.insecure-innerhtml,User controlled data in a `el.innerHTML` is an anti-pattern that can lead to XSS vulnerabilities
01730ede94976732b5f51bead431f055,8,6,9,files.javascript.rules.browser.security.insecure-document-method,"User controlled data in methods like `innerHTML`, `outerHTML` or `document.write` is an anti-pattern that can lead to XSS vulnerabilities"
01730ede94976732b5f51bead431f055,8,6,9,files.javascript.rules.browser.security.insecure-innerhtml,User controlled data in a `el.innerHTML` is an anti-pattern that can lead to XSS vulnerabilities
01a0cf70d69c34c30ea2efe2b043d971,2,8,47,files.javascript.rules.browser.security.eval-detected,"Detected the use of eval(). eval() can be dangerous if used to evaluate dynamic content. If this content can be input from outside the program, this may be a code injection vulnerability. Ensure evaluated content is not definable by external sources."
02108f71e3455f6a782f9def33ba9542,5,2,7,files.javascript.rules.express.security.audit.express-check-csurf-middleware-usage,A CSRF middleware was not detected in your express application. Ensure you are either using one such as `csurf` or `csrf` (see rule references) and/or you are properly doing CSRF validation in your routes with a token or cookies.
023e59ea6fd9c1b1075cbd7d6517db84,6,8,1,files.javascript.rules.lang.security.audit.unsafe-dynamic-method,"Using non-static data to retrieve and run functions from the object is dangerous. If the data is user-controlled, it may allow executing arbitrary code."
025e52c7f8ec0cd32c6b36b84955a11c,2,13,13,files.javascript.rules.lang.security.audit.unsafe-dynamic-method,"Using non-static data to retrieve and run functions from the object is dangerous. If the data is user-controlled, it may allow executing arbitrary code."
027e15398b040f548419371297ede2f8,0,7,19,files.javascript.rules.lang.security.audit.unsafe-formatstring,"Detected string concatenation with a non-literal variable in a util.format / console.log function. If an attacker injects a format specifier in the string, it will forge the log message. Try to use constant values for the format string."
029f34eca4d039c27c3ac48ba47a9f2c,0,27,10,files.javascript.rules.jquery.security.audit.prohibit-jquery-html,"JQuery's `html` function is susceptible to Cross Site Scripting (XSS) attacks. If you're just passing text, consider `text` instead. Otherwise, use a function that escapes HTML such as edX's `HtmlUtils.setHtml()`."
029f34eca4d039c27c3ac48ba47a9f2c,0,37,5,files.javascript.rules.jquery.security.audit.prohibit-jquery-html,"JQuery's `html` function is susceptible to Cross Site Scripting (XSS) attacks. If you're just passing text, consider `text` instead. Otherwise, use a function that escapes HTML such as edX's `HtmlUtils.setHtml()`."
029f34eca4d039c27c3ac48ba47a9f2c,0,44,2,files.javascript.rules.jquery.security.audit.jquery-insecure-method,User controlled data in a jQuery's `.after(...)` is an anti-pattern that can lead to XSS vulnerabilities
02b9ff8fa012ec70273694bac6cebf88,3,7,18,files.javascript.rules.lang.security.detect-child-process,"Detected calls to child_process from a function argument `pid`. This could lead to a command injection if the input is user controllable. Try to avoid calls to child_process, and if it is needed ensure user input is correctly sanitized or sandboxed. "
031cf7af37f710399f64ae8bbe9692e8,0,42,13,files.javascript.rules.browser.security.insecure-document-method,"User controlled data in methods like `innerHTML`, `outerHTML` or `document.write` is an anti-pattern that can lead to XSS vulnerabilities"
