conversation_hash,language,code_index,error_line,error_character,error_id,error_message
0428233ccc1bf4ae2cfaae5eb0d6fec1,csharp,3,17,21,opengrep-rules.all_langs.deserialization.csharp-deserialization-detection,Deserialization detected
0a60904aa0729564e60ae109b0627039,csharp,0,27,20,opengrep-rules.all_langs.deserialization.csharp-deserialization-detection,Deserialization detected
0a60904aa0729564e60ae109b0627039,csharp,0,35,20,opengrep-rules.all_langs.deserialization.csharp-deserialization-detection,Deserialization detected
0a60904aa0729564e60ae109b0627039,csharp,0,43,20,opengrep-rules.all_langs.deserialization.csharp-deserialization-detection,Deserialization detected
0b7acf1a8b11e6956f1a3f8b68673f2f,csharp,0,50,16,opengrep-rules.all_langs.deserialization.csharp-deserialization-detection,Deserialization detected
0d5691692e496c44bede902d525cca2e,csharp,0,10,12,opengrep-rules.all_langs.deserialization.csharp-deserialization-detection,Deserialization detected
0d5691692e496c44bede902d525cca2e,csharp,2,17,12,opengrep-rules.all_langs.deserialization.csharp-deserialization-detection,Deserialization detected
0f7aef1570c6392431bcf078c70405e8,csharp,0,20,28,opengrep-rules.all_langs.deserialization.csharp-deserialization-detection,Deserialization detected
11f35a56f2cac431efc85fe40dd802d2,csharp,0,21,24,opengrep-rules.all_langs.deserialization.csharp-deserialization-detection,Deserialization detected
1cf62aff3dd16a45e4ebce5e0842ae73,csharp,7,6,13,opengrep-rules.all_langs.deserialization.csharp-deserialization-detection,Deserialization detected
1e3d9c9f7de108a524794270f1a9aab1,csharp,1,47,16,opengrep-rules.all_langs.deserialization.csharp-deserialization-detection,Deserialization detected
213d43045df35ea16a06f715b256d47e,csharp,0,128,33,opengrep-rules.all_langs.deserialization.csharp-deserialization-detection,Deserialization detected
21ae30a29a377e952edaa9281767199d,csharp,0,4,43,opengrep-rules.all_langs.deserialization.csharp-deserialization-detection,Deserialization detected
21ae30a29a377e952edaa9281767199d,csharp,1,4,43,opengrep-rules.all_langs.deserialization.csharp-deserialization-detection,Deserialization detected
21ae30a29a377e952edaa9281767199d,csharp,4,4,43,opengrep-rules.all_langs.deserialization.csharp-deserialization-detection,Deserialization detected
2555db8afbf7952877fb42b0881da9a1,csharp,3,73,20,opengrep-rules.all_langs.deserialization.csharp-deserialization-detection,Deserialization detected
2555db8afbf7952877fb42b0881da9a1,csharp,8,6,16,opengrep-rules.all_langs.deserialization.csharp-deserialization-detection,Deserialization detected
2555db8afbf7952877fb42b0881da9a1,csharp,9,14,20,opengrep-rules.all_langs.deserialization.csharp-deserialization-detection,Deserialization detected
2aec1a9950abedee641f3b0cb3a8a93d,csharp,2,23,17,opengrep-rules.all_langs.deserialization.csharp-deserialization-detection,Deserialization detected
31ffbfca96a1c6ddc1807a640969b0ab,csharp,0,10,25,opengrep-rules.all_langs.deserialization.csharp-deserialization-detection,Deserialization detected
31ffbfca96a1c6ddc1807a640969b0ab,csharp,0,18,22,opengrep-rules.all_langs.deserialization.csharp-deserialization-detection,Deserialization detected
33a99cc1abae1a4946ee7ce626e8c713,csharp,0,20,21,opengrep-rules.all_langs.deserialization.csharp-deserialization-detection,Deserialization detected
3629cb868a434623a1554c0364a1e61b,csharp,8,6,21,opengrep-rules.all_langs.deserialization.csharp-deserialization-detection,Deserialization detected
3629cb868a434623a1554c0364a1e61b,csharp,9,26,45,opengrep-rules.all_langs.deserialization.csharp-deserialization-detection,Deserialization detected
3cbbf3758b9e5f383af2af3f2a445fcc,csharp,0,37,16,opengrep-rules.all_langs.deserialization.csharp-deserialization-detection,Deserialization detected
3f903088538748480215f767feb19efa,csharp,3,44,43,opengrep-rules.all_langs.deserialization.csharp-deserialization-detection,Deserialization detected
4574f241e59ed24216386ecfe14438cc,csharp,0,22,27,opengrep-rules.all_langs.deserialization.csharp-deserialization-detection,Deserialization detected
