conversation_hash,language,code_index,error_line,error_character,error_id,error_message
00118051de91b367e42ab113c05b37a0,c,0,23,38,opengrep-rules.all_langs.random.c-cpp-random-detection,Possible random number generation detected
00118051de91b367e42ab113c05b37a0,c,0,26,38,opengrep-rules.all_langs.random.c-cpp-random-detection,Possible random number generation detected
03b04665937db24f23b78099315efe2d,c,0,16,5,opengrep-rules.all_langs.random.c-cpp-random-detection,Possible random number generation detected
04a6cb64cb24c994e668fd3ff2453675,c,0,43,5,opengrep-rules.all_langs.random.c-cpp-random-detection,Possible random number generation detected
04a6cb64cb24c994e668fd3ff2453675,c,0,65,34,opengrep-rules.all_langs.random.c-cpp-random-detection,Possible random number generation detected
04a6cb64cb24c994e668fd3ff2453675,c,0,66,29,opengrep-rules.all_langs.random.c-cpp-random-detection,Possible random number generation detected
04a6cb64cb24c994e668fd3ff2453675,c,0,67,29,opengrep-rules.all_langs.random.c-cpp-random-detection,Possible random number generation detected
04a6cb64cb24c994e668fd3ff2453675,c,0,68,29,opengrep-rules.all_langs.random.c-cpp-random-detection,Possible random number generation detected
04a6cb64cb24c994e668fd3ff2453675,c,0,70,27,opengrep-rules.all_langs.random.c-cpp-random-detection,Possible random number generation detected
052e9c9858c95fb86a27ac6da54f4fc6,c,1,20,6,opengrep-rules.all_langs.random.c-cpp-random-detection,Possible random number generation detected
052e9c9858c95fb86a27ac6da54f4fc6,c,1,21,17,opengrep-rules.all_langs.random.c-cpp-random-detection,Possible random number generation detected
052e9c9858c95fb86a27ac6da54f4fc6,c,1,36,38,opengrep-rules.all_langs.random.c-cpp-random-detection,Possible random number generation detected
052e9c9858c95fb86a27ac6da54f4fc6,c,1,42,38,opengrep-rules.all_langs.random.c-cpp-random-detection,Possible random number generation detected
052e9c9858c95fb86a27ac6da54f4fc6,c,1,48,38,opengrep-rules.all_langs.random.c-cpp-random-detection,Possible random number generation detected
052e9c9858c95fb86a27ac6da54f4fc6,c,1,96,3,opengrep-rules.all_langs.random.c-cpp-random-detection,Possible random number generation detected
052e9c9858c95fb86a27ac6da54f4fc6,c,1,99,21,opengrep-rules.all_langs.random.c-cpp-random-detection,Possible random number generation detected
052e9c9858c95fb86a27ac6da54f4fc6,c,2,21,6,opengrep-rules.all_langs.random.c-cpp-random-detection,Possible random number generation detected
052e9c9858c95fb86a27ac6da54f4fc6,c,2,22,17,opengrep-rules.all_langs.random.c-cpp-random-detection,Possible random number generation detected
052e9c9858c95fb86a27ac6da54f4fc6,c,2,37,38,opengrep-rules.all_langs.random.c-cpp-random-detection,Possible random number generation detected
052e9c9858c95fb86a27ac6da54f4fc6,c,2,43,38,opengrep-rules.all_langs.random.c-cpp-random-detection,Possible random number generation detected
052e9c9858c95fb86a27ac6da54f4fc6,c,2,49,38,opengrep-rules.all_langs.random.c-cpp-random-detection,Possible random number generation detected
052e9c9858c95fb86a27ac6da54f4fc6,c,2,97,3,opengrep-rules.all_langs.random.c-cpp-random-detection,Possible random number generation detected
052e9c9858c95fb86a27ac6da54f4fc6,c,2,100,21,opengrep-rules.all_langs.random.c-cpp-random-detection,Possible random number generation detected
053fd0f98908950b1544f65d94ac2fd3,c,0,6,47,opengrep-rules.all_langs.random.c-cpp-random-detection,Possible random number generation detected
053fd0f98908950b1544f65d94ac2fd3,c,0,7,5,opengrep-rules.all_langs.random.c-cpp-random-detection,Possible random number generation detected
053fd0f98908950b1544f65d94ac2fd3,c,0,10,9,opengrep-rules.all_langs.random.c-cpp-random-detection,Possible random number generation detected
053fd0f98908950b1544f65d94ac2fd3,c,0,10,25,opengrep-rules.all_langs.random.c-cpp-random-detection,Possible random number generation detected
053fd0f98908950b1544f65d94ac2fd3,c,0,13,66,opengrep-rules.all_langs.random.c-cpp-random-detection,Possible random number generation detected
053fd0f98908950b1544f65d94ac2fd3,c,1,8,5,opengrep-rules.all_langs.random.c-cpp-random-detection,Possible random number generation detected
053fd0f98908950b1544f65d94ac2fd3,c,1,13,28,opengrep-rules.all_langs.random.c-cpp-random-detection,Possible random number generation detected
07119fcc1d6cbdb1ee05daaf2066126e,c,0,31,15,opengrep-rules.all_langs.random.c-cpp-random-detection,Possible random number generation detected
07119fcc1d6cbdb1ee05daaf2066126e,c,0,35,13,opengrep-rules.all_langs.random.c-cpp-random-detection,Possible random number generation detected
07119fcc1d6cbdb1ee05daaf2066126e,c,0,36,24,opengrep-rules.all_langs.random.c-cpp-random-detection,Possible random number generation detected
07119fcc1d6cbdb1ee05daaf2066126e,c,0,38,24,opengrep-rules.all_langs.random.c-cpp-random-detection,Possible random number generation detected
07119fcc1d6cbdb1ee05daaf2066126e,c,0,67,16,opengrep-rules.all_langs.random.c-cpp-random-detection,Possible random number generation detected
07119fcc1d6cbdb1ee05daaf2066126e,c,0,71,15,opengrep-rules.all_langs.random.c-cpp-random-detection,Possible random number generation detected
07119fcc1d6cbdb1ee05daaf2066126e,c,0,123,5,opengrep-rules.all_langs.random.c-cpp-random-detection,Possible random number generation detected
07de3ff7bd595d32f1123a43d95db1fb,c,1,24,61,opengrep-rules.all_langs.random.c-cpp-random-detection,Possible random number generation detected
08761e71e8b12dd5d9d6801a130690de,c,0,23,25,opengrep-rules.all_langs.random.c-cpp-random-detection,Possible random number generation detected
08761e71e8b12dd5d9d6801a130690de,c,0,30,15,opengrep-rules.all_langs.random.c-cpp-random-detection,Possible random number generation detected
08761e71e8b12dd5d9d6801a130690de,c,0,40,25,opengrep-rules.all_langs.random.c-cpp-random-detection,Possible random number generation detected
08761e71e8b12dd5d9d6801a130690de,c,0,47,15,opengrep-rules.all_langs.random.c-cpp-random-detection,Possible random number generation detected
08761e71e8b12dd5d9d6801a130690de,c,0,65,15,opengrep-rules.all_langs.random.c-cpp-random-detection,Possible random number generation detected
08761e71e8b12dd5d9d6801a130690de,c,0,83,15,opengrep-rules.all_langs.random.c-cpp-random-detection,Possible random number generation detected
08761e71e8b12dd5d9d6801a130690de,c,0,99,15,opengrep-rules.all_langs.random.c-cpp-random-detection,Possible random number generation detected
08761e71e8b12dd5d9d6801a130690de,c,0,105,5,opengrep-rules.all_langs.random.c-cpp-random-detection,Possible random number generation detected
08f599f34cc229ee68f659fcd1a92cdb,c,0,28,23,opengrep-rules.all_langs.random.c-cpp-random-detection,Possible random number generation detected
08f599f34cc229ee68f659fcd1a92cdb,c,0,32,24,opengrep-rules.all_langs.random.c-cpp-random-detection,Possible random number generation detected
08f599f34cc229ee68f659fcd1a92cdb,c,0,68,54,opengrep-rules.all_langs.random.c-cpp-random-detection,Possible random number generation detected
08f599f34cc229ee68f659fcd1a92cdb,c,0,81,19,opengrep-rules.all_langs.random.c-cpp-random-detection,Possible random number generation detected
08f599f34cc229ee68f659fcd1a92cdb,c,0,97,43,opengrep-rules.all_langs.random.c-cpp-random-detection,Possible random number generation detected
08f599f34cc229ee68f659fcd1a92cdb,c,0,98,18,opengrep-rules.all_langs.random.c-cpp-random-detection,Possible random number generation detected
08f599f34cc229ee68f659fcd1a92cdb,c,0,100,19,opengrep-rules.all_langs.random.c-cpp-random-detection,Possible random number generation detected
08f599f34cc229ee68f659fcd1a92cdb,c,0,106,19,opengrep-rules.all_langs.random.c-cpp-random-detection,Possible random number generation detected
08f599f34cc229ee68f659fcd1a92cdb,c,1,31,23,opengrep-rules.all_langs.random.c-cpp-random-detection,Possible random number generation detected
08f599f34cc229ee68f659fcd1a92cdb,c,1,35,24,opengrep-rules.all_langs.random.c-cpp-random-detection,Possible random number generation detected
08f599f34cc229ee68f659fcd1a92cdb,c,1,71,54,opengrep-rules.all_langs.random.c-cpp-random-detection,Possible random number generation detected
08f599f34cc229ee68f659fcd1a92cdb,c,1,84,19,opengrep-rules.all_langs.random.c-cpp-random-detection,Possible random number generation detected
08f599f34cc229ee68f659fcd1a92cdb,c,1,100,43,opengrep-rules.all_langs.random.c-cpp-random-detection,Possible random number generation detected
08f599f34cc229ee68f659fcd1a92cdb,c,1,101,18,opengrep-rules.all_langs.random.c-cpp-random-detection,Possible random number generation detected
08f599f34cc229ee68f659fcd1a92cdb,c,1,103,19,opengrep-rules.all_langs.random.c-cpp-random-detection,Possible random number generation detected
