conversation_hash,code_index,error_line,error_character,error_id,error_message
01be4fc6642ebde592676b1fa24e54c8,2,15,1,files.php.rules.lang.security.injection.tainted-exec,User input is passed to a function that executes a shell command. This can lead to remote code execution.
01be4fc6642ebde592676b1fa24e54c8,2,15,1,files.php.rules.lang.security.tainted-exec,Executing non-constant commands. This can lead to command injection. You should use `escapeshellarg()` when using command.
01be4fc6642ebde592676b1fa24e54c8,2,15,1,files.php.rules.lang.security.exec-use,Executing non-constant commands. This can lead to command injection.
01be4fc6642ebde592676b1fa24e54c8,2,21,1,files.php.rules.lang.security.injection.tainted-exec,User input is passed to a function that executes a shell command. This can lead to remote code execution.
01be4fc6642ebde592676b1fa24e54c8,2,21,1,files.php.rules.lang.security.tainted-exec,Executing non-constant commands. This can lead to command injection. You should use `escapeshellarg()` when using command.
01be4fc6642ebde592676b1fa24e54c8,2,21,1,files.php.rules.lang.security.exec-use,Executing non-constant commands. This can lead to command injection.
0568bf729d305348f1f105244f021c5b,0,6,31,files.php.rules.lang.security.injection.tainted-filename,File name based on user input risks server-side request forgery.
05ee4f109a2a818d9ee9d3446787b23d,1,12,10,files.php.rules.lang.security.injection.tainted-sql-string,"User data flows into this manually-constructed SQL string. User data can be safely inserted into SQL strings using prepared statements or an object-relational mapper (ORM). Manually-constructed SQL strings is a possible indicator of SQL injection, which could let an attacker steal or manipulate data from the database. Instead, use prepared statements (`$mysqli->prepare(""INSERT INTO test(id, label) VALUES (?, ?)"");`) or a safe library."
087a62dd99a70814aedf28f2b82bee5f,7,2,1,files.php.rules.lang.security.phpinfo-use,The 'phpinfo' function may reveal sensitive information about your environment.
0b3679bcce46c7983a9cbd418625f625,0,18,13,files.php.rules.lang.security.php-ssrf,"The web server receives a URL or similar request from an upstream component and retrieves the contents of this URL, but it does not sufficiently ensure that the request is being sent to the expected destination. Dangerous function file_get_contents with payload ""https://www.google.com/recaptcha/api/siteverify?secret={$recaptcha_secret}&response={$_POST['g-recaptcha-response']}"""
0b3679bcce46c7983a9cbd418625f625,0,19,61,files.php.rules.lang.security.injection.tainted-filename,File name based on user input risks server-side request forgery.
136bc3f63d2da6a575426402720283a4,0,15,1,files.php.rules.lang.security.exec-use,Executing non-constant commands. This can lead to command injection.
16560fd3786ee183df3feeb163a101da,3,6,4,files.php.rules.lang.security.unlink-use,Using user input when deleting files with `unlink()` is potentially dangerous. A malicious actor could use this to modify or access files they have no right to.
16560fd3786ee183df3feeb163a101da,3,6,11,files.php.rules.lang.security.injection.tainted-filename,File name based on user input risks server-side request forgery.
18b8d73a681322f643e1a6eedfefc7f8,1,17,9,files.php.rules.lang.security.injection.echoed-request,`Echo`ing user input risks cross-site scripting vulnerability. You should use `htmlentities()` when showing data to users.
1930bbebcc2b1692bc1c9bdade437402,14,2,1,files.php.rules.lang.security.phpinfo-use,The 'phpinfo' function may reveal sensitive information about your environment.
1930bbebcc2b1692bc1c9bdade437402,5,2,4,files.php.rules.lang.security.phpinfo-use,The 'phpinfo' function may reveal sensitive information about your environment.
25196b33b23ff9bca8f63c870e6fc36a,2,10,5,files.php.rules.lang.security.injection.echoed-request,`Echo`ing user input risks cross-site scripting vulnerability. You should use `htmlentities()` when showing data to users.
25c9a8748c62e54625838f64d0c3d93e,6,16,21,files.php.rules.lang.security.injection.tainted-filename,File name based on user input risks server-side request forgery.
25c9a8748c62e54625838f64d0c3d93e,6,16,43,files.php.rules.lang.security.injection.tainted-filename,File name based on user input risks server-side request forgery.
25c9a8748c62e54625838f64d0c3d93e,6,28,22,files.php.rules.lang.security.injection.tainted-filename,File name based on user input risks server-side request forgery.
25c9a8748c62e54625838f64d0c3d93e,6,28,43,files.php.rules.lang.security.injection.tainted-filename,File name based on user input risks server-side request forgery.
25c9a8748c62e54625838f64d0c3d93e,6,33,21,files.php.rules.lang.security.injection.tainted-filename,File name based on user input risks server-side request forgery.
25c9a8748c62e54625838f64d0c3d93e,6,33,43,files.php.rules.lang.security.injection.tainted-filename,File name based on user input risks server-side request forgery.
25e10599575b5759a17118ed5ab90585,0,22,8,files.php.rules.lang.security.injection.tainted-sql-string,"User data flows into this manually-constructed SQL string. User data can be safely inserted into SQL strings using prepared statements or an object-relational mapper (ORM). Manually-constructed SQL strings is a possible indicator of SQL injection, which could let an attacker steal or manipulate data from the database. Instead, use prepared statements (`$mysqli->prepare(""INSERT INTO test(id, label) VALUES (?, ?)"");`) or a safe library."
25e10599575b5759a17118ed5ab90585,0,28,5,files.php.rules.lang.security.injection.echoed-request,`Echo`ing user input risks cross-site scripting vulnerability. You should use `htmlentities()` when showing data to users.
2b478ec404952be3f14dece5f3a6a683,3,6,9,files.php.rules.lang.security.injection.tainted-exec,User input is passed to a function that executes a shell command. This can lead to remote code execution.
2b478ec404952be3f14dece5f3a6a683,3,6,9,files.php.rules.lang.security.tainted-exec,Executing non-constant commands. This can lead to command injection. You should use `escapeshellarg()` when using command.
2b478ec404952be3f14dece5f3a6a683,3,6,9,files.php.rules.lang.security.exec-use,Executing non-constant commands. This can lead to command injection.
2c2d152d24cede3faaa875f8a6256439,1,12,27,files.php.rules.lang.security.injection.tainted-filename,File name based on user input risks server-side request forgery.
2c2d152d24cede3faaa875f8a6256439,1,15,1,files.php.rules.lang.security.injection.echoed-request,`Echo`ing user input risks cross-site scripting vulnerability. You should use `htmlentities()` when showing data to users.
3122884a0235ded0ec8dc0c8679ac838,8,2,1,files.php.rules.lang.security.phpinfo-use,The 'phpinfo' function may reveal sensitive information about your environment.
